Diet,Fold Change HF/CD,CD,HF
Ncs1,1.701591228,16.98063,17.49286
Atp5e,1.697571695,15.16671,15.67773
Cuta,1.69504703,14.72096,15.23122
Plch1,1.689898041,14.15018,14.65889
Rab5b,1.685147684,15.7588,16.26608
Rpl28,1.680164792,16.63005,17.13583
Acsf3,1.679865818,14.59958,15.10527
Ndufa4,1.674882926,18.00339,18.50758
Arl8b,1.671760314,15.22321,15.72646
Samm50,1.667441807,15.0864,15.58835
Mrpl28,1.666478448,15.55445,16.05611
Ces1e,1.66548187,17.08266,17.58402
Soat2,1.660532197,15.21109,15.71096
Agmat,1.660000688,16.35181,16.85152
Cox4i1,1.659668495,18.40785,18.90746
Pgm1,1.659170206,14.71221,15.21167
Slc25a22,1.656479445,16.18924,16.68789
Slc6a8,1.655017796,13.81599,14.3142
Decr2,1.654087656,16.985,17.48293
Dak,1.647310923,18.26163,18.75752
Ugt1a6a,1.644719819,15.50265,15.99776
Rab8b,1.642460908,17.49253,17.98696
Rpl38,1.633491702,14.87501,15.36674
Dpysl4,1.632129712,17.55421,18.04553
Cad,1.629571827,15.31561,15.80616
Paqr9,1.626449215,14.14935,14.63896
Sugt1,1.625884487,14.44351,14.93295
Dbr1,1.620801937,12.82768,13.31559
Rpl35,1.612928967,16.93273,17.41827
Pxmp2,1.611101907,15.21836,15.70335
Fh1,1.609939232,16.59209,17.07673
Mfge8,1.607115593,13.13649,13.62028
Ssr4,1.603893323,16.0285,16.51132
Nudcd3,1.595455625,10.48316,10.96344
Bccip,1.594758021,11.70794,12.18801
Ccs,1.592997399,14.74906,15.2286
X10.Sep,1.585622718,14.44084,14.91816
Cd68,1.584493263,14.87859,15.35557
Hspb8,1.584460043,13.7702,14.24717
Ostc,1.583994973,15.54755,16.02438
Cisd3,1.583729219,14.96834,15.44509
Tpr,1.579477151,14.27175,14.74722
Gnb2l1,1.577550433,17.14766,17.62255
Ttpa,1.576122004,16.15248,16.62694
Fam162a,1.575590495,14.58534,15.05964
Cideb,1.575324741,13.4822,13.95642
Rpl26,1.569145955,17.14943,17.62179
Pgm5,1.569112736,17.14576,17.61811
Rab18,1.562070248,15.40475,15.87498
Sntb2,1.559844556,12.14724,12.6168
Magt1,1.558216811,14.17561,14.64468
Rpl7a,1.558216811,16.86749,17.33656
Rpl37a,1.542039022,15.2487,15.7129
Sqrdl,1.541474294,15.53372,15.99775
Fbl,1.537222226,15.18788,15.65063
C8a,1.534597903,14.05999,14.52195
Sdhd,1.534531464,14.83859,15.30053
Apoc1,1.533700982,15.72984,16.19153
Canx,1.532073237,16.2878,16.749
Eno3,1.520546147,18.29865,18.75638
Aldh3a2,1.518918402,17.1209,17.57814
Pex11c,1.515995105,12.89072,13.34708
Atp5l,1.515397158,17.09877,17.55495
Hadhb,1.513769414,18.8418,19.29749
Haao,1.511444064,19.0346,19.48959
Pfkfb4,1.509484126,13.42202,13.87642
Uqcrq,1.508022478,17.186,17.63996
Ebpl,1.505198839,13.72651,14.17962
Cyp2d11,1.504501234,16.79225,17.24515
Cutc,1.490682013,13.95345,14.40219
Ppp2cb,1.483606306,14.26414,14.71075
Grhpr,1.483473429,18.11079,18.55736
Gpd1,1.481646369,18.33924,18.78526
Des,1.47603231,15.11499,15.55932
Ndufb2,1.47234497,14.5614,15.00462
Mia3,1.471248734,14.53179,14.97468
Cox6a1,1.470717225,15.95216,16.39489
Tgm1,1.4691227,13.53824,13.98049
Stt3a,1.460585345,16.36446,16.80414
Lrrc59,1.460219933,16.83827,17.27784
Apoc3,1.459920959,14.80448,15.24396
COX2,1.45709732,18.77138,19.21001
Vapb,1.455834988,15.51639,15.95464
Pafah1b3,1.45065278,14.66823,15.10492
Fabp4,1.44646715,14.30581,14.74124
Tm9sf2,1.442813029,13.3642,13.79853
Fnta,1.438727058,12.87208,13.30518
Bzw1,1.434740744,13.96609,14.39799
Rpl30,1.434441771,17.31843,17.75024
Trpa1,1.431850667,15.79576,16.22679
Pygl,1.428395862,17.6146,18.04459
Arl1,1.423213654,13.44986,13.87829
Rps8,1.421286935,17.56906,17.99691
Gyk,1.418230762,16.05837,16.4853
Gsta2,1.418164323,14.36346,14.79037
Pex19,1.416038289,12.94543,13.3717
Serpina1e,1.415473561,16.8196,17.2457
Pura,1.413380747,15.60685,16.03232
Aacs,1.412782799,15.58141,16.0067
Sec23b,1.412550265,15.18643,15.61165
Sds,1.410789643,17.53785,17.96254
Hsd3b4,1.409892722,14.12883,14.55325
Npc2,1.407899565,14.83516,15.25898
Itpr3,1.40580675,12.50438,12.92757
Ldhb,1.397335834,19.34727,19.76791
Uck1,1.395973843,13.27427,13.6945
Fads1,1.390160469,15.27908,15.69756
Acaca,1.386074498,15.25634,15.67359
Bbox1,1.384247437,16.51371,16.93041
Cryl1,1.382985104,15.80412,16.22044
Srd5a1,1.381187941,8.345072,8.760851
Acot13,1.37856694,17.60145,18.01644
Rps26,1.37717173,17.79338,18.20795
Actr2,1.37534467,15.41531,15.82933
Rpl18,1.374281653,17.5611,17.9748
Vdac3,1.373716925,15.7138,16.12733
Pex5,1.372188838,14.74464,15.15771
Uqcrc1,1.367438481,17.58324,17.99488
Tuba4a,1.366674438,18.36457,18.77598
Ndufb3,1.364149772,14.71749,15.12814
Gigyf2,1.361658326,12.82972,13.23962
Rnf2,1.358967564,15.93299,16.34208
Mocs1,1.355346663,16.24024,16.64824
Mat1a,1.350164455,19.81572,20.22216
Glrx,1.344085326,15.17885,15.58346
Tmem30a,1.340298328,13.27406,13.67753
Tmem30b,1.338006198,15.6323,16.03508
Wee2,1.337674005,12.5997,13.00238
Praf2,1.33514934,13.34274,13.74466
Swap70,1.332990087,13.13997,13.54124
C8g,1.332325701,13.46191,13.86298
Hspa1l,1.329701378,17.31525,17.71553
Ganab,1.329402404,16.76944,17.16963
Mup3,1.323854784,14.50227,14.90079
Hars2,1.323721907,15.16965,15.56813
Cyp4a12a,1.32312396,15.76855,16.16685
Cisd1,1.318174287,16.53224,16.92905
Pdia4,1.305517741,17.10672,17.49972
Ndufb7,1.304853356,15.15052,15.54332
Slc12a2,1.302959857,15.57788,15.97011
Steap4,1.299936902,15.0515,15.44282
Rpl15,1.294223186,17.02593,17.41553
Dad1,1.293293046,16.28743,16.67675
Gpx4,1.292263248,15.652,16.04101
Ppib,1.289605706,17.56868,17.95689
Ptdss1,1.289339951,13.71752,14.10565
Pcx,1.286483093,18.97479,19.36206
Rpl24,1.284689252,17.10438,17.49111
Rps16,1.283559797,17.31119,17.69758
Hist2h2bb,1.28199849,18.27324,18.65916
Cyp8b1,1.279340948,14.44022,14.82534
Krt76,1.273062504,18.54564,18.92887
Lmnb2,1.272630653,15.72225,16.10535
Pm20d1,1.265488508,15.76679,16.14774
Rab11a,1.261801168,16.73272,17.11256
Mki67ip,1.258047389,14.06122,14.43993
Mtch2,1.247616535,16.30751,16.68308
Gnai3,1.247284342,13.64894,14.02441
Snrpc,1.246985368,13.84014,14.21552
Ceacam1,1.246520298,13.04343,13.41867
Cd47,1.23672061,12.85873,13.23102
Prpf19,1.236355198,16.01728,16.38946
Rdh7,1.232402104,18.48595,18.85694
Ssr3,1.232368885,14.98983,15.36081
Qk,1.230109974,14.39927,14.76957
Acadm,1.220675698,18.51933,18.88679
Lgals3bp,1.220476382,15.14943,15.51683
Glb1,1.219147611,11.66165,12.02865
Gale,1.218981514,14.09491,14.46186
Sap18,1.218217471,13.818,14.18472
H13,1.21735377,14.26737,14.63383
Pter,1.214496911,15.79741,16.16301
Bphl,1.214065061,17.65243,18.0179
Cml1,1.210577036,13.68253,14.04695
Nucks1,1.210577036,14.34022,14.70464
Rpl36,1.209547239,17.14609,17.5102
Rpl8,1.209248265,17.96385,18.32787
H2.K1,1.206657161,14.0605,14.42374
Prkcsh,1.201375296,17.29636,17.65801
Tln2,1.19978077,15.44654,15.80771
Ncoa5,1.196923912,13.85974,14.22005
Cdh2,1.187954706,15.08335,15.44096
Hsd3b5,1.187722171,14.39577,14.75331
Rps29,1.186094426,15.93561,16.29266
Hgd,1.185629356,18.49144,18.84835
Ces1c,1.184400243,18.7575,19.11404
Man2a2,1.183769077,13.08459,13.44094
Asgr2,1.178819404,13.95595,14.31081
H2afy,1.177689948,15.89789,16.25241
Rbbp7,1.177457413,14.56282,14.91727
Comt,1.174102266,16.50532,16.85876
Psma3,1.173969389,15.88578,16.23918
Ndufa13,1.173138907,16.24577,16.59892
Cdk5,1.171345066,11.34077,11.69338
Hsd17b12,1.170813557,15.54918,15.90163
Comtd1,1.170082733,11.70809,12.06032
Dsc2,1.169052935,13.31641,13.66833
Fam82a2,1.167790602,15.0201,15.37164
Nras,1.165066621,14.26043,14.61115
Rad23b,1.164800867,15.47451,15.82515
Slc25a18,1.162010448,16.17848,16.52828
Dtd1,1.161711474,11.31317,11.66288
Gdi1,1.156628924,14.7233,15.07148
Bcap31,1.156296731,15.05327,15.40135
Sdhaf1,1.156163854,10.83468,11.18272
Acat1,1.155997758,19.0477,19.39569
Eif3k,1.149553217,14.42172,14.76777
Ldha,1.14805835,20.22882,20.57442
Qprt,1.142078879,16.74436,17.08816
Supt5h,1.139886406,14.66961,15.01275
Plin2,1.138889828,15.0325,15.37534
Cml5,1.136531259,11.57742,11.91955
Trap1,1.135900093,15.93013,16.27207
Rpl6,1.133508305,18.14746,18.48868
Timm10,1.131913779,13.41809,13.75883
Rpl21,1.131382271,16.09818,16.43876
Car2,1.130883981,15.29093,15.63136
Ncbp2,1.128990482,13.63886,13.97872
Epn3,1.12862507,11.98011,12.31986
Vdac1,1.127462395,16.96954,17.30894
Hmgcs1,1.126930887,19.57855,19.91779
Slc25a13,1.119821961,17.62681,17.96391
Kpna3,1.118792163,15.3292,15.66599
Api5,1.118626067,15.38634,15.72308
Slc25a3,1.118227435,18.12448,18.4611
Sec23ip,1.116333936,12.78208,13.11813
Vkorc1,1.116068182,16.51641,16.85238
Slc22a18,1.11570277,13.90585,14.24171
Krt18,1.114274341,18.0545,18.38993
Myo3b,1.111616798,13.29806,13.63269
Arf3,1.111450702,15.54537,15.87995
Idh3g,1.110919193,14.6859,15.02032
Abhd16a,1.110819536,15.72217,16.05656
Iyd,1.108992475,16.1701,16.50394
Col6a1,1.108560625,13.01233,13.34604
Brp44l,1.107098976,15.01061,15.34388
Gjb1,1.10646781,14.22364,14.55672
Cdc73,1.105438012,12.42746,12.76023
Ociad2,1.105006161,13.4098,13.74244
Acox2,1.104640749,16.49341,16.82594
Ube2d3,1.102182523,15.83294,16.16473
Atp5h,1.102049645,17.99051,18.32226
ATP8,1.101717453,17.25978,17.59143
Rasl2.9,1.101352041,15.57766,15.9092
Vapa,1.101252383,16.55477,16.88628
Emc2,1.097797578,13.6244,13.95487
Tmem33,1.096036956,14.87805,15.20799
Atp1b3,1.095737982,14.48627,14.81612
Krt10,1.094708184,18.09595,18.42549
Magohb,1.094043799,12.98273,13.31207
Pcbd2,1.092349615,14.76836,15.09719
Hsd3b7,1.092216738,14.54108,14.86987
Sigmar1,1.091917765,14.04962,14.37832
Rps21,1.091485914,17.58579,17.91436
Ttc39c,1.090887967,13.82323,14.15162
Ugt2a3,1.089559196,17.23924,17.56723
Kmo,1.089525977,16.35359,16.68157
Nedd8,1.086436583,14.83934,15.16639
Ermp1,1.086204048,13.97528,14.30226
Fasn,1.085174251,17.63113,17.9578
Man1a,1.084775619,13.83876,14.16531
Ppp3ca,1.08384548,14.16177,14.48804
Lmf1,1.080789306,13.87367,14.19902
C3,1.080490332,16.42283,16.74809
Col4a3,1.080357455,13.26898,13.5942
Fkbp8,1.077500597,14.56198,14.88634
Hsd17b11,1.073780037,16.47623,16.79947
Pepd,1.070624206,14.87395,15.19624
Nfix,1.070524548,14.24074,14.563
Calu,1.067269058,14.68262,15.0039
Pafah2,1.066970085,14.10095,14.42214
Lamp1,1.065475217,15.17347,15.49421
Ddx46,1.060824518,13.27939,13.59873
Mtch1,1.055044363,13.8458,14.1634
D17Wsu104e,1.054081004,15.40791,15.72522
Hnrnpll,1.053649153,12.17519,12.49237
Lbr,1.052253943,14.30879,14.62555
Tuba8,1.051689216,18.29794,18.61453
Eea1,1.051257365,14.17212,14.48858
Uck2,1.04916455,13.6214,13.93723
Rpl10,1.048666261,15.87793,16.19361
Tmbim6,1.048134752,13.27004,13.58556
Prkag2,1.045145017,14.34841,14.66303
Decr1,1.044912482,18.61081,18.92536
Pspc1,1.04454707,14.27391,14.58835
Vdac2,1.041424458,16.46784,16.78134
Sumo1,1.04085973,13.88633,14.19966
Gnb4,1.038600819,15.27344,15.58609
Cecr5,1.035013137,14.46142,14.77299
Pecr,1.034182655,17.70957,18.02089
Ndrg2,1.033086418,17.64591,17.9569
Phyhd1,1.031890524,14.00227,14.3129
Stom,1.030927165,13.58365,13.89399
Cab39,1.029997025,13.61175,13.92181
Adk,1.029830929,18.54431,18.85432
Naa38,1.026442562,14.98991,15.2989
Faah,1.025346326,15.38111,15.68977
Nceh1,1.020828504,12.90895,13.21625
Tars,1.018071303,17.134,17.44047
Rad18,1.017573014,16.83756,17.14388
Ndufb9,1.017174383,14.93685,15.24305
Apool,1.013055192,14.22862,14.53358
Rap1b,1.008670247,16.59425,16.89789
Nup93,1.007474353,13.33011,13.63339
Ndufa9,1.007441133,15.60086,15.90413
Myadm,1.006743528,12.14778,12.45084
Amacr,1.005514415,16.47964,16.78233
Rpl7,1.00345482,17.61386,17.91593
Ugp2,1.00112947,17.23081,17.53218
Map7,0.998172954,10.75746,11.05794
Atp1b1,0.998006858,15.96327,16.2637
Sbds,0.997575007,13.9804,14.2807
Rpl34,0.992758211,17.26174,17.56059
Rpl29,0.991230124,16.91767,17.21606
Mgst1,0.987775319,19.62073,19.91808
Glud1,0.987310249,20.60874,20.90595
Atxn2l,0.985715724,16.20926,16.50599
Rps15,0.984885242,15.09248,15.38896
Cltb,0.984652707,15.48916,15.78557
Cul2,0.98402154,12.91303,13.20925
Nop58,0.982792427,14.07232,14.36817
Pcyt1b,0.982593111,14.31032,14.60611
Commd3,0.982360576,14.47251,14.76823
Hmgb1,0.981961945,15.80827,16.10387
Glo1,0.980068446,18.70311,18.99814
Gnb3,0.978806113,16.2343,16.52895
Gda,0.978407482,14.6285,14.92303
Brd4,0.97664686,12.09825,12.39225
Atp2a3,0.975151992,15.21087,15.50442
Echdc1,0.974886238,15.70894,16.00241
Mapre1,0.974487607,15.41676,15.71011
Rpl32,0.973491028,15.88878,16.18183
Mvk,0.972162257,14.79671,15.08936
Mtdh,0.971066021,14.72408,15.0164
Fbxo6,0.969504714,13.96076,14.25261
Slc25a48,0.969371837,16.06036,16.35217
Srp54c,0.968175943,14.14712,14.43857
Dynlt3,0.962362569,13.6239,13.9136
Cars,0.961332771,14.37979,14.66918
Dap3,0.960568728,14.13472,14.42388
Cml2,0.960004,15.26385,15.55284
Snap47,0.958509132,13.64503,13.93357
Ccdc56,0.955452959,13.91114,14.19876
Rpl36a,0.955054327,17.34964,17.63714
Bckdhb,0.950270751,16.328,16.61406
Bola1,0.950204312,14.16346,14.4495
Gspt2,0.950071435,13.66139,13.94739
Osbp2,0.944390938,12.00165,12.28594
Rap2c,0.943427579,14.10424,14.38824
Uqcrc2,0.942962509,17.05367,17.33753
Tubb6,0.942298123,17.95844,18.2421
Nutf2,0.941367984,15.03997,15.32335
Lyplal1,0.938976195,13.41753,13.70019
Enpep,0.938511125,14.29024,14.57276
Fbp1,0.938444687,19.3963,19.6788
Krt75,0.937315231,18.92026,19.20242
Mup17,0.935488171,13.5959,13.87751
Hkdc1,0.934923443,13.92353,14.20497
Uap1l1,0.93366111,14.44388,14.72494
Mad2l1,0.928777876,13.32045,13.60004
Chchd2,0.928545341,15.87039,16.14991
Alg5,0.928312806,14.2389,14.51835
Prkacb,0.928279587,15.33178,15.61122
Pklr,0.926984035,17.52994,17.80899
Ugt1a1,0.925887799,17.43909,17.71781
Pex16,0.925622044,11.72196,12.0006
Gk2,0.924060738,15.62916,15.90733
Ywhag,0.921071003,16.40093,16.6782
Apoa1,0.919111065,17.71592,17.9926
Eif6,0.917284005,15.29477,15.5709
Pcmtd1,0.9165864,15.6234,15.89932
Hmgcs2,0.916287426,21.18853,21.46436
Cltc,0.915922014,16.99597,17.27169
Atad1,0.914659682,14.98671,15.26205
Slc25a5,0.91286584,19.46316,19.73796
Sec14l2,0.912566867,16.94633,17.22104
Cyp2d9,0.911238096,16.27389,16.5482
Rabac1,0.90921172,13.0313,13.305
Bsg,0.90688637,16.03141,16.30441
Pex7,0.902501425,12.74956,13.02124
Ubc,0.902501425,16.86885,17.14053
Nme1,0.902434986,16.33665,16.60831
Helq,0.901139434,14.72419,14.99546
Pikfyve,0.899744225,13.00097,13.27182
Prodh2,0.899644567,15.2884,15.55922
Ergic1,0.896621612,14.53261,14.80252
Hsph1,0.894794552,14.98658,15.25594
Ambp,0.892867833,14.60437,14.87315
Cept1,0.891838036,15.73158,16.00005
Abcc3,0.889047616,14.38019,14.64782
Gatad2b,0.888582546,11.63056,11.89805
Thrsp,0.884994864,14.14722,14.41363
Rpl17,0.881971909,16.68944,16.95494
Nudc,0.880875673,14.80747,15.07264
Dnaja3,0.880709577,15.15361,15.41873
Spcs2,0.880676357,13.51093,13.77604
Prkra,0.880377384,12.72048,12.9855
Serpina1c,0.879945533,15.10331,15.3682
Cpt2,0.879679779,16.98858,17.25339
Eppk1,0.879314367,14.81278,15.07748
Erlin1,0.8786832,14.23801,14.50252
Cds2,0.877653403,13.84925,14.11345
Tmem135,0.874730106,12.45098,12.7143
Galm,0.874630448,16.83349,17.09678
Ociad1,0.874597229,15.07659,15.33987
Dhrs1,0.873799966,17.3634,17.62644
Pgrmc1,0.873766747,17.68857,17.9516
Senp7,0.873434554,15.04531,15.30824
H2.Q10,0.871341739,14.06142,14.32372
Pabpc1,0.868219127,16.73557,16.99693
Pigr,0.868219127,14.73952,15.00088
Hnrnpul2,0.868119469,14.12842,14.38975
Dhrs7,0.866923575,14.76113,15.0221
Elavl1,0.865694462,15.51755,15.77815
Atp5o,0.865661242,18.93467,19.19526
Pex11a,0.863767743,15.40845,15.66847
Cdhr3,0.863070138,14.23027,14.49008
Npepps,0.861110201,15.0716,15.33082
Gadl1,0.859183482,13.25038,13.50902
Rps17,0.856359844,15.6813,15.93909
Etfdh,0.854300248,17.51205,17.76922
Vim,0.853469766,17.92895,18.18587
Scp2,0.852539626,19.58116,19.8378
Psmd6,0.851543048,14.40838,14.66472
Tecr,0.847158103,15.01196,15.26698
Mtor,0.845065288,12.3016,12.55599
Slc6a12,0.84406871,14.54439,14.79848
Gm5453,0.842374526,17.77708,18.03066
Uox,0.840879659,19.5023,19.75543
Rps23,0.839949519,16.7627,17.01555
Cstb,0.839484449,15.46208,15.71479
Idh3a,0.838653967,15.78105,16.03351
P4hb,0.838155678,19.21196,19.46427
Cryz,0.837823485,16.90792,17.16013
Rdh10,0.835365258,12.72363,12.9751
Prkaca,0.833206005,12.1496,12.40042
Hdhd3,0.831378944,15.83678,16.08705
Sec22b,0.826562149,16.3929,16.64172
H2afv,0.826396052,16.1187,16.36747
Pdia5,0.826163517,16.10549,16.35419
Fkbp2,0.823904606,16.70996,16.95798
Myo1g,0.823904606,13.55946,13.80748
Smc2,0.82373851,13.29002,13.53799
Apip,0.823638852,14.00643,14.25437
Ide,0.823605633,14.34941,14.59734
