Diet,Fold Change HF/CD,CD,HF
Akr1b3,-1.041085621,7.683148,7.36975
Gm3099,-1.038962909,4.999259,4.6865
Pax5,-1.038933012,4.035,3.72225
Cfd,-1.038903114,4.385741,4.073
Acer3,-1.038411469,7.877593,7.565
Med8,-1.037335164,9.023519,8.71125
Pik3ap1,-1.036640881,11.15981,10.84775
Mrgpra2a,-1.035458275,3.728704,3.417
Arhgap27,-1.031827407,5.301111,4.9905
Ppp1cc,-1.031591551,12.70704,12.3965
Gstm6,-1.031491893,11.76926,11.45875
Cdc7,-1.031272645,5.049444,4.739
Mreg,-1.030382369,8.470926,8.16075
Orc6,-1.030013635,6.209815,5.89975
Gm1965,-1.026229959,4.235926,3.927
Acot3,-1.025877834,13.29407,12.98525
Nmt2,-1.025276565,8.813889,8.50525
H47,-1.024353069,9.071111,8.76275
Kif18b,-1.024047452,5.183519,4.87525
Il1r2,-1.022755222,3.92463,3.61675
Npc1,-1.022755222,9.69463,9.38675
Hcls1,-1.019924939,7.287778,6.98075
Ptpn6,-1.019400074,8.13037,7.8235
Cps1,-1.019267197,16.95833,16.6515
Cenpa,-1.018878532,7.962963,7.65625
Atp8b4,-1.017955036,3.790185,3.48375
Prpf8,-1.017805549,12.43889,12.1325
Cdkn2c,-1.016632908,6.412037,6.106
Lyl1,-1.015988454,5.042593,4.73675
Gm5483,-1.013526906,6.286852,5.98175
Dcaf7,-1.012234676,9.327963,9.02325
Gm3893,-1.007836443,6.423889,6.1205
Gzmk,-1.007467709,4.637778,4.3345
Nsd1,-1.007374695,10.12,9.81675
Pqlc3,-1.005497805,6.255185,5.9525
Idh2,-1.005381538,12.32315,12.0205
Atg2a,-1.004052767,7.11,6.80775
Atp13a2,-1.002454919,5.103519,4.80175
Arhgdib,-0.999345595,9.108333,8.8075
Lpp,-0.999162889,9.267778,8.967
Fem1c,-0.998392201,9.356296,9.05575
Gmds,-0.998362304,4.947037,4.6465
Pabpn1,-0.996548531,9.540741,9.24075
Fam117b,-0.995595138,9.188704,8.889
Cdk1,-0.995163287,3.344074,3.0445
Jph1,-0.99513339,4.079815,3.78025
Bmx,-0.994395922,3.897593,3.59825
Cd22,-0.99384116,4.405926,4.10675
Brpf1,-0.993655132,6.52037,6.22125
Mrgpra2b,-0.992455916,4.769259,4.4705
Hdac8,-0.992087182,6.528148,6.2295
Nudt16,-0.992027387,6.93963,6.641
Akap8,-0.991871256,7.303333,7.00475
Cnbp,-0.991794852,13.08981,12.79125
Ids,-0.991349714,8.160926,7.8625
Ptar1,-0.988951282,7.188704,6.891
Cxcl11,-0.988426417,5.161296,4.86375
Gm5803,-0.987320215,6.647963,6.35075
Fau,-0.986944837,13.76185,13.46475
Pdk3,-0.986150896,3.586111,3.28925
Ranbp2,-0.984685926,10.59667,10.30025
Cdt1,-0.980952079,6.471296,6.176
Baz1a,-0.980430536,7.688889,7.39375
Racgap1,-0.978952278,4.404444,4.10975
Iqgap1,-0.978553647,8.414074,8.1195
Nfil3,-0.977816179,7.431852,7.1375
Gphn,-0.976846176,10.67481,10.38075
Mrc1,-0.976713298,11.77352,11.4795
Ccl9,-0.976115351,14.91759,14.62375
Alox5,-0.974647059,4.903148,4.60975
D16Ertd472e,-0.974341442,6.945556,6.65225
Myo3b,-0.973816577,4.703148,4.41
Bmper,-0.972557566,5.668519,5.37575
Ablim3,-0.970896602,7.148519,6.85625
Kdr,-0.968541355,10.61556,10.324
D8Ertd82e,-0.966897001,4.899815,4.60875
Def6,-0.966159533,5.722593,5.43175
Gm14346,-0.96520614,3.615556,3.325
Cd63,-0.964159732,7.625741,7.3355
Parvg,-0.963266134,5.887222,5.59725
Pacs1,-0.962498768,5.065741,4.776
Cdc14a,-0.960190028,5.401296,5.11225
Atm,-0.958897798,6.767407,6.47875
Gm5168,-0.958439372,4.643519,4.355
Prmt1,-0.957113923,8.67537,8.38725
Gm2888,-0.955698781,4.484444,4.19675
Nup210l,-0.954778607,4.036667,3.74925
Dennd3,-0.95400792,3.970185,3.683
Hspb6,-0.951639385,9.667222,9.38075
Ikzf1,-0.951486577,7.815926,7.5295
Cep152,-0.950041538,4.820741,4.53475
Hk1,-0.949393762,7.141296,6.8555
Gm21962,-0.94937383,12.27704,11.99125
Pced1b,-0.949177836,5.036481,4.75075
Oat,-0.949174515,15.07648,14.79075
Lrmp,-0.948842322,6.46963,6.184
Fam110c,-0.947948723,4.856111,4.57075
Capg,-0.946779404,6.224259,5.93925
Fam69a,-0.944779604,9.707407,9.423
Agpat6,-0.943062167,10.13389,9.85
Ercc4,-0.941211853,6.558333,6.275
Coro1a,-0.94099925,5.623519,5.34025
Dhx15,-0.940936133,9.6,9.31675
Dpep2,-0.940873016,4.206481,3.92325
Erbb2ip,-0.940869694,10.87648,10.59325
Gm21188,-0.940474385,4.251111,3.968
Cux2,-0.939643903,6.441111,6.15825
Ehd3,-0.937182354,9.35537,9.07325
Lat2,-0.933983337,6.142407,5.86125
Ing1,-0.933647823,7.575556,7.2945
Ankrd13a,-0.933368781,8.402222,8.12125
Adam8,-0.933338883,3.172963,2.892
H2.DMa,-0.933275767,6.574444,6.2935
Cenpe,-0.933000047,4.626111,4.34525
Nudt19,-0.932830628,13.13056,12.84975
Nup85,-0.93266121,5.674259,5.3935
Irs1,-0.932016756,7.149815,6.86925
Gm3453,-0.931525111,5.481667,5.20125
Bptf,-0.930970349,7.8,7.51975
Phactr2,-0.930538498,6.52537,6.24525
Gng2,-0.930292675,6.481296,6.20125
Lin9,-0.929402399,5.687778,5.408
Pdcd1,-0.929123357,4.849444,4.56975
Hist1h1b,-0.928326094,5.458704,5.17925
Gltp,-0.927987257,7.811852,7.5325
Mmp9,-0.926203382,5.184815,4.906
Ptpn7,-0.92564862,4.113148,3.8345
Fli1,-0.925156974,8.37,8.0915
Dll1,-0.925127077,5.205741,4.92725
Anp32a,-0.924824782,14.39815,14.11975
Ctgf,-0.92349601,6.545,6.267
Mtfr2,-0.923343202,4.043704,3.76575
Cbr1,-0.922665528,10.955,10.67725
Lsm10,-0.9224795,8.804444,8.52675
Gpr183,-0.919835246,4.328148,4.05125
Gm17535,-0.919682437,7.916852,7.64
Acap1,-0.918665927,5.046296,4.76975
Gm5453,-0.917881952,10.82056,10.54425
Pcnx,-0.917868664,8.360556,8.08425
Casp3,-0.916576434,6.841667,6.56575
Pik3c2g,-0.916021672,8.4,8.12425
Amelx,-0.915437013,4.299074,4.0235
Gm5416,-0.914822456,4.568889,4.2935
Ambra1,-0.914526805,10.2013,9.926
Chd1,-0.913131595,7.25463,6.97975
Brca2,-0.909932578,5.881667,5.60775
Myo1g,-0.909839564,7.093889,6.82
Diap1,-0.909623639,8.484074,8.21025
Hcfc2,-0.909254905,6.412963,6.13925
Pcna,-0.907650413,11.88148,11.60825
Leng8,-0.906454519,7.76037,7.4875
Ptgds,-0.906178799,4.352037,4.07925
Alms1,-0.906085785,5.679259,5.4065
Foxk1,-0.905810065,8.020926,7.74825
Mapk4,-0.904580952,3.600556,3.32825
Hexb,-0.903796977,11.09407,10.822
Ep400,-0.902179198,7.813333,7.54175
Nfx1,-0.898488536,9.282222,9.01175
Galnt3,-0.898335727,3.920926,3.6505
Mta2,-0.897817506,10.90852,10.63825
Luc7l2,-0.895166608,9.487222,9.21775
Apol6,-0.894645065,6.179815,5.9105
Pole,-0.893721569,5.147037,4.878
Pcsk7,-0.891814782,8.312963,8.0445
Ppp1r12a,-0.891200225,8.122778,7.8545
Lnpep,-0.890941115,10.6187,10.3505
H2.Eb2,-0.888585868,4.085741,3.81825
Cpeb4,-0.88655617,9.72463,9.45775
Il18rap,-0.886094422,4.845741,4.579
Gcfc1,-0.885755585,8.743889,8.47725
Gls2,-0.883732531,14.67778,14.41175
Kitl,-0.883662771,7.319259,7.05325
Dgkd,-0.883078111,4.823333,4.5575
Padi2,-0.882556569,4.790926,4.52525
Ddx10,-0.882463555,7.313148,7.0475
Mis18bp1,-0.881942012,5.915741,5.65025
Itpr3,-0.881878895,5.322222,5.05675
Cdc25a,-0.881573278,5.83463,5.56925
Gm2000,-0.88147362,11.67185,11.4065
Csf2rb2,-0.879666491,8.195556,7.93075
Fgl2,-0.878434056,8.910185,8.64575
Olfr1247,-0.877387648,5.78037,5.51625
Arid1a,-0.876258193,10.34278,10.079
Gldc,-0.876058877,11.13222,10.8685
Miip,-0.875849596,4.242407,3.97875
Camk2d,-0.87566689,9.996852,9.73325
Akap8l,-0.875264936,8.151481,7.888
Galnt7,-0.875112128,4.825185,4.56175
Dynlt1c,-0.874929422,8.99963,8.73625
Arg2,-0.874251748,4.320926,4.05775
Clec4e,-0.874128837,6.483889,6.22075
Hace1,-0.873603972,5.841481,5.5785
Cep70,-0.873298355,6.518889,6.256
Nlrc4,-0.872344962,3.911852,3.64925
D19Ertd737e,-0.868714094,7.054259,6.79275
Egln3,-0.868531388,8.598704,8.33725
Pik3r6,-0.867146144,4.422037,4.161
Mfsd7b,-0.867116247,6.057778,5.79675
Plcg2,-0.866960116,6.541481,6.2805
Cd37,-0.866624601,7.00963,6.74875
Oip5,-0.865883811,3.997407,3.73675
Mfng,-0.864993535,5.268889,5.0085
Phkg2,-0.864930418,9.98037,9.72
Elp2,-0.863731202,9.654259,9.39425
Atmin,-0.863701305,7.81,7.55
Nedd1,-0.863701305,7.735,7.475
Bmp2,-0.863362468,6.563148,6.30325
Cnot1,-0.862316061,9.908333,9.64875
Mboat1,-0.862226369,4.415556,4.156
Myst3,-0.862040341,6.48,6.2205
Ppp1r16b,-0.861947327,6.502222,6.24275
Pfpl,-0.861425784,3.394815,3.1355
Ccdc14,-0.86105705,5.288704,5.0295
Dync1li2,-0.860625199,8.224074,7.965
Ncf1,-0.860442493,8.018519,7.7595
Avil,-0.860133554,4.965926,4.707
AI427809,-0.859947526,5.02537,4.7665
Cables1,-0.859794717,5.279074,5.02025
Aox3,-0.859671806,9.427037,9.16825
Cd33,-0.859641909,5.712778,5.454
Gdpd1,-0.857701903,6.089444,5.83125
Hnrnpd,-0.85652594,10.05759,9.79975
Plekhg3,-0.85616385,7.431481,7.17375
Cybrd1,-0.85561241,4.319815,4.06225
Dgkq,-0.85530347,5.652222,5.39475
Dynlt1f,-0.855197169,10.37444,10.117
Btg3,-0.854934736,6.166111,5.90875
Gsta4,-0.85423381,12.42815,12.171
Lcorl,-0.853798637,8.433519,8.1765
Arid4a,-0.852383496,7.517593,7.261
Capn5,-0.852044659,5.030741,4.77425
Ift57,-0.851858631,6.255185,5.99875
Olfr1033,-0.850812224,5.51537,5.25925
Atf7ip,-0.850476709,6.213519,5.9575
Akp3,-0.85044349,3.779259,3.52325
Ddx42,-0.850014961,8.85963,8.60375
Gm21833,-0.849383795,10.14519,9.8895
Mad2l2,-0.849337288,7.960926,7.70525
Pcp4,-0.84801516,5.357778,5.1025
Naip6,-0.847646426,5.726667,5.4715
Bhlhb9,-0.847490296,5.55537,5.30025
Clcf1,-0.846905636,3.709444,3.4545
Kri1,-0.846693033,4.96463,4.70975
Cep55,-0.846231285,4.340741,4.086
Ccdc109a,-0.845676523,7.789074,7.5345
Bcl9,-0.844045456,5.343333,5.08925
Polr3a,-0.843523913,6.785926,6.532
Cbx3,-0.842141991,12.54426,12.29075
Actr3,-0.842009114,11.74722,11.49375
Acrbp,-0.841922744,6.974444,6.721
Gm10600,-0.840447808,4.78,4.527
Dok3,-0.840079074,6.703889,6.451
Fbxo5,-0.839803354,5.565556,5.31275
Lbr,-0.839740237,8.052037,7.79925
Lrtm1,-0.839431298,9.539444,9.28675
Crim1,-0.839125681,7.916852,7.66425
Hnrnpu,-0.839119037,13.01685,12.76425
Gfer,-0.838939653,8.241296,7.98875
Cd2,-0.838634035,6.018704,5.76625
Cldn34d,-0.837986259,3.679259,3.427
Arl4a,-0.837617525,9.593148,9.341
Ptbp2,-0.836079473,8.960185,8.7085
Rad54l,-0.836079473,4.875185,4.6235
Polr3e,-0.83555793,5.992778,5.74125
Adpgk,-0.835155977,7.612407,7.361
Glipr2,-0.834757345,6.352037,6.10075
Kif23,-0.833126278,5.556296,5.3055
Cd80,-0.831588226,5.013333,4.763
Msh3,-0.828266298,7.708333,7.459
Ptk7,-0.828176606,3.780556,3.53125
Pik3c2b,-0.828143386,4.861296,4.612
Ppp2r4,-0.82796068,8.000741,7.7515
Fkbp15,-0.826794684,10.41389,10.165
Pxn,-0.826638553,9.002593,8.75375
Chka,-0.82537622,5.127963,4.8795
Gm2927,-0.824147107,4.132593,3.8845
Ces1e,-0.823638852,13.29944,13.0515
Ada,-0.823529228,6.382407,6.1345
Ahcy,-0.822775151,17.46593,17.21825
Lamb1,-0.822668849,5.693148,5.4455
Gm10576,-0.822147306,5.520741,5.27325
Gkn2,-0.821991176,6.194444,5.947
Ncoa2,-0.820300314,8.160185,7.91325
Lrrc8c,-0.819808669,7.032037,6.78525
Olfr697,-0.819685757,5.16,4.91325
Pde1b,-0.818333733,4.602593,4.35625
Cd52,-0.817224209,8.889259,8.64325
Map3k1,-0.816825577,7.093889,6.848
Atg16l2,-0.816702666,9.101852,8.856
Csda,-0.816609652,9.214074,8.96825
Exosc8,-0.816579755,7.014815,6.769
Cbx7,-0.814148103,5.093333,4.84825
Cblb,-0.814025192,9.301296,9.05625
Arhgap17,-0.812978785,9.106481,8.86175
Dynlt1a,-0.812410735,11.51056,11.266
Mecom,-0.81135104,5.675741,5.4315
Mphosph6,-0.811258026,6.197963,5.95375
Coro7,-0.811012203,9.208889,8.96475
Poc5,-0.810457441,5.962222,5.71825
Irf6,-0.808690175,10.18019,9.93675
Ppap2c,-0.808550654,8.568148,8.32475
Casd1,-0.808524079,10.07389,9.8305
Ranbp10,-0.808029112,8.940741,8.6975
Fus,-0.807959351,11.48722,11.244
Notch2,-0.807843084,8.280185,8.037
Cnot3,-0.807258424,6.519259,6.27625
Muc13,-0.80719863,5.100741,4.85775
Gm2863,-0.80716541,3.931481,3.6885
Lmcd1,-0.806982704,4.745926,4.503
Fkbp5,-0.806265168,11.22296,10.98025
BC006965,-0.806212017,4.159444,3.91675
Fam89a,-0.805999414,6.67463,6.432
Ctnnal1,-0.8059064,5.346852,5.10425
Gpr116,-0.805813386,9.584074,9.3415
Agxt,-0.805534344,12.97574,12.73325
Eid3,-0.805444652,5.457963,5.2155
Bclaf1,-0.805198829,9.483889,9.2415
Ctdsp2,-0.804766978,8.944259,8.702
Lgals4,-0.804644067,5.407222,5.165
Pgap1,-0.804398244,8.303148,8.061
Krtap6.3,-0.804275333,3.896111,3.654
Gm6676,-0.804215538,5.072593,4.8305
Olfr763,-0.802800397,4.766667,4.525
Oxa1l,-0.80247817,12.91407,12.6725
Cd28,-0.802308752,5.628519,5.387
Cbx4,-0.802215738,7.705741,7.46425
Fnbp1,-0.801538064,8.057037,7.81575
Mms22l,-0.799940217,4.820556,4.57975
Gm3424,-0.799847203,4.802778,4.562
Chaf1b,-0.799784086,5.789259,5.5485
Olfr301,-0.79944525,4.422407,4.18175
Mageb3,-0.799046618,3.997037,3.7565
Cdc45,-0.798647987,4.926667,4.68625
Prickle3,-0.798525075,5.60463,5.36425
Cdca7l,-0.798491856,6.20037,5.96
Chpf2,-0.797631477,5.571111,5.331
Ppp3ca,-0.79739562,10.42204,10.182
Dlgap5,-0.797232845,5.990741,5.75075
Adrbk1,-0.796369144,8.811481,8.57175
Cks2,-0.796246233,6.784444,6.54475
Dpp4,-0.795767875,11.0213,10.78175
Gls,-0.794801194,7.404259,7.165
Pdk1,-0.794007253,12.11852,11.8795
Gnl3,-0.79314023,8.619259,8.3805
Fan1,-0.793017319,4.917222,4.6785
Gxylt1,-0.792987421,6.922963,6.68425
Dyrk2,-0.792309748,7.724259,7.48575
Cwf19l1,-0.792216734,8.251481,8.013
Kif20a,-0.792127042,5.278704,5.04025
Gpr126,-0.791725089,5.213333,4.975
Fcgr2b,-0.791681904,12.20407,11.96575
H2.DMb2,-0.790127241,6.616852,6.379
P2ry10,-0.789788405,4.22,3.98225
Gm3685,-0.789479465,4.997407,4.75975
Flna,-0.789266862,8.292593,8.055
Nphp3,-0.788619086,5.763148,5.52575
Gm21876,-0.787881618,4.525926,4.28875
Inpp4a,-0.785204144,6.94037,6.704
Ankrd12,-0.784313867,7.901852,7.66575
Pot1a,-0.784220853,6.114074,5.878
Igfbp3,-0.784190956,7.959815,7.72375
Faim3,-0.784161058,5.555556,5.3195
